"Country","Region","Year","Population","Life.Expectancy","Health.Expenditure"
"Pakistan","South Asia",1998,137808222,62.73517073,15.58586312
"Panama","Latin America & Caribbean",1998,2843276,73.84,272.4673933
"Papua New Guinea","East Asia & Pacific",1998,5104153,58.1895122,28.08690072
"Paraguay","Latin America & Caribbean",1998,5124050,69.53097561,110.6986856
"Peru","Latin America & Caribbean",1998,25079136,69.50463415,101.8482499
"Philippines","East Asia & Pacific",1998,74040838,66.49539024,31.19610385
"Poland","Europe & Central Asia",1998,38663481,72.99756098,266.7368401
"Portugal","Europe & Central Asia",1998,10129290,75.71219512,933.3498427
"Qatar","Middle East & North Africa",1998,548828,75.90797561,637.0159346
"Romania","Europe & Central Asia",1998,22507344,69.80731707,69.97729854
"Russian Federation","Europe & Central Asia",1998,146899000,66.78390244,121.400976
"Rwanda","Sub-Saharan Africa",1998,6944116,41.27392683,15.06582855
"Samoa","East Asia & Pacific",1998,173543,68.76480488,72.13023609
"San Marino","Europe & Central Asia",1998,26271,80.17317073,2860.82074
"Sao Tome and Principe","Sub-Saharan Africa",1998,135838,62.08026829,37.23789815
"Saudi Arabia","Middle East & North Africa",1998,19256649,71.09426829,253.064996
"Senegal","Sub-Saharan Africa",1998,9035367,55.13856098,22.8442625
"Sierra Leone","Sub-Saharan Africa",1998,3953705,38.3254878,23.85936145
"Singapore","East Asia & Pacific",1998,3927200,77.4,705.5371836
"Slovak Republic","Europe & Central Asia",1998,5390516,72.55121951,234.7571824
"Slovenia","Europe & Central Asia",1998,1981629,74.80731707,856.7603299
"Solomon Islands","East Asia & Pacific",1998,386906,61.54363415,42.96869995
"Somalia","Sub-Saharan Africa",1998,6982940,46.99497561,7.426448762
"South Africa","Sub-Saharan Africa",1998,41899682.78,57.01760976,264.723672
"Spain","Europe & Central Asia",1998,39721108,78.66585366,1107.1403
"Sri Lanka","South Asia",1998,18784000,69.67714634,31.45238882
"St. Lucia","Latin America & Caribbean",1998,151952,71.45365854,220.6272498
"St. Vincent and the Grenadines","Latin America & Caribbean",1998,107907,70.23158537,122.7818164
"Sudan","Sub-Saharan Africa",1998,26356626,55.74002439,13.74915072
"Suriname","Latin America & Caribbean",1998,454124,67.87104878,178.3811671
"Swaziland","Sub-Saharan Africa",1998,1008143,51.79453659,84.4031706
"Sweden","Europe & Central Asia",1998,8850974,79.33902439,2335.529544
"Switzerland","Europe & Central Asia",1998,7110001,79.32439024,3850.618791
"Syrian Arab Republic","Middle East & North Africa",1998,15200324,73.60002439,56.6897248
"Tajikistan","Europe & Central Asia",1998,6027676,63.10426829,7.794116989
"Tanzania","Sub-Saharan Africa",1998,32388671,49.80085366,9.554286256
"Thailand","East Asia & Pacific",1998,61660383,72.33029268,67.76276579
"Togo","Sub-Saharan Africa",1998,4500173,54.51707317,16.43061073
"Tonga","East Asia & Pacific",1998,96966,70.49285366,91.98495531
"Trinidad and Tobago","Latin America & Caribbean",1998,1281396,68.66104878,173.5608627
"Tunisia","Middle East & North Africa",1998,9333300,72.05121951,127.1539241
"Turkey","Europe & Central Asia",1998,61742674,68.11904878,154.9018222
"Turkmenistan","Europe & Central Asia",1998,4395293,63.5772439,32.75255874
"Uganda","Sub-Saharan Africa",1998,22788843,45.14487805,14.79745216
"Ukraine","Europe & Central Asia",1998,50143939.13,67.96829268,55.47668855
"United Arab Emirates","Middle East & North Africa",1998,2755497,74.15704878,720.5852478
"United Kingdom","Europe & Central Asia",1998,58487141,77.1902439,1662.880602
"United States","North America",1998,275854000,76.5804878,4235.837199
"Uruguay","Latin America & Caribbean",1998,3273776.897,73.95414634,775.7000479
"Uzbekistan","Europe & Central Asia",1998,24051000,66.7147561,39.78945956
"Vanuatu","East Asia & Pacific",1998,177946,66.75119512,57.56341739
"Venezuela, RB","Latin America & Caribbean",1998,23413000,72.72926829,175.9668205
"Vietnam","East Asia & Pacific",1998,75456300,71.00156098,17.46661904
"Yemen, Rep.","Middle East & North Africa",1998,16716850,58.59658537,21.64078979
"Zambia","Sub-Saharan Africa",1998,9682058,42.25507317,21.83129799
"Zimbabwe","Sub-Saharan Africa",1998,12261742,47.39956098,53.3478824
"Albania","Europe & Central Asia",1999,3072725,73.72182927,65.02421307
"Algeria","Middle East & North Africa",1999,30099010,69.67304878,55.4928705
"Angola","Sub-Saharan Africa",1999,13511575,44.43909756,25.85126804
"Argentina","Latin America & Caribbean",1999,36541029,73.50346341,726.2321112
"Armenia","Europe & Central Asia",1999,3090624,70.4924878,34.03030962
"Australia","East Asia & Pacific",1999,18926000,78.93170732,1744.914063
"Austria","Europe & Central Asia",1999,7992324,77.77560976,2698.29707
"Azerbaijan","Europe & Central Asia",1999,7982750,66.3554878,30.52841235
"Bahamas, The","Latin America & Caribbean",1999,293988,71.30343902,1070.995612
"Bahrain","Middle East & North Africa",1999,626765,73.67136585,495.9627031
"Bangladesh","South Asia",1999,127214841,64.23390244,9.707999641
"Barbados","Latin America & Caribbean",1999,266758,75.30941463,569.0039736
"Belarus","Europe & Central Asia",1999,10035000,67.90731707,74.01814266
"Belgium","Europe & Central Asia",1999,10226419,77.6195122,2010.913339
"Belize","Latin America & Caribbean",1999,243100,73.44431707,111.0270883
"Benin","Sub-Saharan Africa",1999,6329476,52.2917561,18.03650781
"Bhutan","South Asia",1999,555377,60.45609756,49.64121943
"Bolivia","Latin America & Caribbean",1999,8138802,62.60087805,63.07862518
"Bosnia and Herzegovina","Europe & Central Asia",1999,3601438,73.714,113.5965174
"Botswana","Sub-Saharan Africa",1999,1728179,52.15895122,130.6674725
"Brazil","Latin America & Caribbean",1999,171936271,69.81446341,242.0004213
"Brunei Darussalam","East Asia & Pacific",1999,319654,75.98834146,589.1790199
"Bulgaria","Europe & Central Asia",1999,8210624,71.41219512,96.3090366
"Burkina Faso","Sub-Saharan Africa",1999,11951701,49.8854878,13.28007691
"Burundi","Sub-Saharan Africa",1999,6283662,45.67056098,7.031611954
"Cambodia","East Asia & Pacific",1999,12224414,57.08882927,17.76706611
"Cameroon","Sub-Saharan Africa",1999,15324051,50.4065122,28.97119901
"Canada","North America",1999,30499200,78.88292683,1936.587877
"Cape Verde","Sub-Saharan Africa",1999,429278,68.95639024,64.65687342
"Central African Republic","Sub-Saharan Africa",1999,3632287,43.95334146,11.37410212
"Chad","Sub-Saharan Africa",1999,7946982,48.73882927,11.3289682
"Chile","Latin America & Caribbean",1999,15231557,76.42282927,376.9523862
"China","East Asia & Pacific",1999,1252735000,71.08339024,38.60216862
"Colombia","Latin America & Caribbean",1999,39102653,70.71182927,191.392469
"Comoros","Sub-Saharan Africa",1999,547864,57.64509756,15.94531646
"Congo, Dem. Rep.","Sub-Saharan Africa",1999,48429878,45.44241463,11.19072684
"Congo, Rep.","Sub-Saharan Africa",1999,3055437,54.14090244,23.61276795
"Costa Rica","Latin America & Caribbean",1999,3831504,77.62273171,281.619973
"Cote d'Ivoire","Sub-Saharan Africa",1999,16242889,50.17890244,42.93138892
"Croatia","Europe & Central Asia",1999,4554000,72.64195122,371.989493
"Cuba","Latin America & Caribbean",1999,11068382,76.158,152.5986894
"Cyprus","Europe & Central Asia",1999,925504,77.8235122,781.0988625
"Czech Republic","Europe & Central Asia",1999,10283860,74.66829268,383.8318353
"Denmark","Europe & Central Asia",1999,5321799,76.34146341,2926.94835
"Djibouti","Middle East & North Africa",1999,711573,53.58941463,46.89280721
"Dominican Republic","Latin America & Caribbean",1999,8458164,70.63082927,150.2650576
"Ecuador","Latin America & Caribbean",1999,12148188,73.00614634,64.90718762
"Egypt, Arab Rep.","Middle East & North Africa",1999,66457136,68.44936585,72.76411955
"El Salvador","Latin America & Caribbean",1999,5911094,69.5332439,168.0738232
"Equatorial Guinea","Sub-Saharan Africa",1999,504001,48.64095122,39.85587706
"Eritrea","Sub-Saharan Africa",1999,3539885,55.40758537,9.083265123
"Estonia","Europe & Central Asia",1999,1375654,70.06341463,240.6151746
"Ethiopia","Sub-Saharan Africa",1999,63868806,51.19292683,4.510650641
"Fiji","East Asia & Pacific",1999,806927,67.42012195,74.54145408
"Finland","Europe & Central Asia",1999,5165474,77.29121951,1860.192885
"France","Europe & Central Asia",1999,60495363,78.60731707,2451.718945
"Gabon","Sub-Saharan Africa",1999,1206862,59.97204878,115.5448818
"Gambia, The","Sub-Saharan Africa",1999,1260283,54.84507317,23.03773625
"Georgia","Europe & Central Asia",1999,4452500,71.29319512,36.67806407
"Germany","Europe & Central Asia",1999,82100243,77.72682927,2689.947948
"Ghana","Sub-Saharan Africa",1999,18715676,58.13480488,20.48603084
"Greece","Europe & Central Asia",1999,10882580,77.98780488,1113.659828
"Grenada","Latin America & Caribbean",1999,101354,73.07746341,291.5232412
"Guatemala","Latin America & Caribbean",1999,10974314,67.21812195,82.17687084
"Guinea","Sub-Saharan Africa",1999,8226138,47.522,23.66370889
"Guinea-Bissau","Sub-Saharan Africa",1999,1216902,44.61936585,10.61591667
"Guyana","Latin America & Caribbean",1999,731496,63.94643902,44.45069672
"Haiti","Latin America & Caribbean",1999,8495358,58.17185366,27.20068471
"Honduras","Latin America & Caribbean",1999,6090164,70.12568293,55.34164331
"Hungary","Europe & Central Asia",1999,10237530,70.67707317,345.1602902
"Iceland","Europe & Central Asia",1999,277381,79.35121951,3218.816511
"India","South Asia",1999,1036258683,61.25587805,18.22737214
"Indonesia","East Asia & Pacific",1999,210610776,65.33070732,15.15809449
"Iran, Islamic Rep.","Middle East & North Africa",1999,64278307,69.45182927,177.9086546
"Iraq","Middle East & North Africa",1999,23589967,70.96887805,15.19664608
"Ireland","Europe & Central Asia",1999,3754786,76.07365854,1558.217226
"Israel","Middle East & North Africa",1999,6125000,78.65853659,1359.453079
"Italy","Europe & Central Asia",1999,56916317,78.82682927,1643.31301
"Jamaica","Latin America & Caribbean",1999,2574289.364,70.37626829,161.7347031
"Japan","East Asia & Pacific",1999,126650000,80.57073171,2603.802091
"Jordan","Middle East & North Africa",1999,4680500,71.95331707,160.5234482
"Kazakhstan","Europe & Central Asia",1999,14928425.85,65.5195122,48.95029296
"Kenya","Sub-Saharan Africa",1999,30462154,52.81321951,17.76716234
"Korea, Rep.","East Asia & Pacific",1999,46617000,75.37341463,422.4800071
"Kuwait","Middle East & North Africa",1999,1857217,73.66970732,594.9855949
"Kyrgyz Republic","Europe & Central Asia",1999,4840400,67.00243902,15.27470778
"Lao PDR","East Asia & Pacific",1999,5220920,60.81107317,10.36693736
"Latvia","Europe & Central Asia",1999,2390482,69.74292683,196.2894465
"Lebanon","Middle East & North Africa",1999,3690033,70.48368293,490.3069948
"Lesotho","Sub-Saharan Africa",1999,1934337,49.35782927,27.64706657
"Liberia","Sub-Saharan Africa",1999,2710963,44.8887561,9.838410555
"Libya","Middle East & North Africa",1999,5134324,72.26285366,229.4919311
"Lithuania","Europe & Central Asia",1999,3524238,71.57073171,193.093468
"Luxembourg","Europe & Central Asia",1999,430475,77.77073171,2867.509124
"Macedonia, FYR","Europe & Central Asia",1999,2001178,72.74421951,162.0933001
"Madagascar","Sub-Saharan Africa",1999,14892172,58.71629268,7.994966691
"Malawi","Sub-Saharan Africa",1999,10922265,45.96368293,10.59809435
"Malaysia","East Asia & Pacific",1999,22867698,71.95634146,106.7412226
"Maldives","South Asia",1999,268600,69.36421951,142.9182886
"Mali","Sub-Saharan Africa",1999,10969725,46.93839024,16.20183555
"Malta","Middle East & North Africa",1999,379360,77.14878049,656.1427591
"Marshall Islands","East Asia & Pacific",1999,52080,67.50487805,374.4021469
"Mauritania","Sub-Saharan Africa",1999,2567741,56.93141463,27.66104384
"Mauritius","Sub-Saharan Africa",1999,1175267,70.96097561,126.2702754
"Mexico","Latin America & Caribbean",1999,98513690,74.0132439,278.3587806
"Micronesia, Fed. Sts.","East Asia & Pacific",1999,107237,67.17263415,155.53255
"Moldova","Europe & Central Asia",1999,3646999,66.72697561,18.90233611
"Mongolia","East Asia & Pacific",1999,2388862,62.6165122,17.87467717
"Montenegro","Europe & Central Asia",1999,635689,75.10704878,98.39231361
"Morocco","Middle East & North Africa",1999,28444414,68.28390244,55.66948385
"Mozambique","Sub-Saharan Africa",1999,17735992,47.02097561,13.51834616
"Myanmar","East Asia & Pacific",1999,44496687,61.58714634,2.586128908
"Namibia","Sub-Saharan Africa",1999,1851034,58.20585366,127.499502
"Nepal","South Asia",1999,23825372,60.71580488,12.35461941
"Netherlands","Europe & Central Asia",1999,15812088,77.83658537,2105.041776
"New Zealand","East Asia & Pacific",1999,3835100,77.8902439,1153.423832
"Nicaragua","Latin America & Caribbean",1999,4994730,69.16853659,51.67504819
"Niger","Sub-Saharan Africa",1999,10548219,47.52202439,7.029463429
"Nigeria","Sub-Saharan Africa",1999,120784408,45.82953659,16.12939287
"Norway","Europe & Central Asia",1999,4461913,78.28292683,3325.038621
"Oman","Middle East & North Africa",1999,2259398,73.93826829,243.6037078
"Pakistan","South Asia",1999,141261069,62.95253659,15.65990011
"Panama","Latin America & Caribbean",1999,2899636,74.03090244,270.8268167
"Papua New Guinea","East Asia & Pacific",1999,5240560,58.48487805,26.82914829
"Paraguay","Latin America & Caribbean",1999,5233615,69.78253659,108.9547404
"Peru","Latin America & Caribbean",1999,25478577,69.99892683,98.40778965
"Philippines","East Asia & Pacific",1999,75669587,66.64802439,35.44030456
"Poland","Europe & Central Asia",1999,38660271,73.04390244,251.4396865
"Portugal","Europe & Central Asia",1999,10171949,75.96341463,986.2939684
"Qatar","Middle East & North Africa",1999,569870,76.10707317,631.726043
"Romania","Europe & Central Asia",1999,22472040,70.51219512,67.63565043
"Russian Federation","Europe & Central Asia",1999,146309000,66.04365854,77.08947458
"Rwanda","Sub-Saharan Africa",1999,7582861,44.23480488,11.15048066
"Samoa","East Asia & Pacific",1999,175169,69.13704878,82.34506461
"San Marino","Europe & Central Asia",1999,26551,80.52439024,3014.889301
"Sao Tome and Principe","Sub-Saharan Africa",1999,138475,62.21753659,45.07716414
"Saudi Arabia","Middle East & North Africa",1999,19578923,71.28907317,339.2429231
"Senegal","Sub-Saharan Africa",1999,9265135,55.43112195,24.22335738
"Sierra Leone","Sub-Saharan Africa",1999,4028260,38.97468293,28.49585248
"Singapore","East Asia & Pacific",1999,3958700,77.55121951,631.853266
"Slovak Republic","Europe & Central Asia",1999,5396020,72.90243902,218.3197989
"Slovenia","Europe & Central Asia",1999,1983045,75.0097561,877.1188791
"Solomon Islands","East Asia & Pacific",1999,397627,62.19087805,46.14111243
"Somalia","Sub-Saharan Africa",1999,7193120,47.69934146,7.43116333
"South Africa","Sub-Saharan Africa",1999,42923484.53,55.89253659,268.3314331
"Spain","Europe & Central Asia",1999,39926268,78.71707317,1132.175344
"Sri Lanka","South Asia",1999,19056000,70.25170732,30.50359703
"St. Lucia","Latin America & Caribbean",1999,153703,71.30487805,247.0194669
"St. Vincent and the Grenadines","Latin America & Caribbean",1999,107869,70.29807317,127.7600953
"Sudan","Sub-Saharan Africa",1999,26949878,56.34226829,12.10386323
"Suriname","Latin America & Caribbean",1999,460419,67.89263415,134.8853274
"Swaziland","Sub-Saharan Africa",1999,1009464,50.16207317,78.70331478
"Sweden","Europe & Central Asia",1999,8857874,79.44146341,2395.176136
"Switzerland","Europe & Central Asia",1999,7143991,79.5804878,3818.179445
"Syrian Arab Republic","Middle East & North Africa",1999,15572833,73.81621951,58.74934097
"Tajikistan","Europe & Central Asia",1999,6104268,63.42070732,6.901757233
"Tanzania","Sub-Saharan Africa",1999,33197305,50.04097561,9.228105579
"Thailand","East Asia & Pacific",1999,62408639,72.40946341,68.69954362
"Togo","Sub-Saharan Africa",1999,4650754,54.66729268,15.94178176
"Tonga","East Asia & Pacific",1999,97431,70.62507317,102.7812337
"Trinidad and Tobago","Latin America & Caribbean",1999,1286871,68.51997561,225.0078446
"Tunisia","Middle East & North Africa",1999,9455900,72.5,132.9480763
"Turkey","Europe & Central Asia",1999,62692616,68.79473171,187.8423256
"Turkmenistan","Europe & Central Asia",1999,4449427,63.74546341,33.81459404
"Uganda","Sub-Saharan Africa",1999,23482533,45.54814634,16.04639488
"Ukraine","Europe & Central Asia",1999,49673349.99,68.19390244,37.69349048
"United Arab Emirates","Middle East & North Africa",1999,2897038,74.38873171,722.0457528
"United Kingdom","Europe & Central Asia",1999,58682466,77.3902439,1770.716821
"United States","North America",1999,279040000,76.58292683,4450.044994
"Uruguay","Latin America & Caribbean",1999,3288819.058,74.15390244,811.2557523
"Uzbekistan","Europe & Central Asia",1999,24311700,66.84431707,41.9317052
"Vanuatu","East Asia & Pacific",1999,181239,67.15982927,52.11783395
"Venezuela, RB","Latin America & Caribbean",1999,23867000,72.86414634,231.8761737
"Vietnam","East Asia & Pacific",1999,76596700,71.48260976,17.98377241
"Yemen, Rep.","Middle East & North Africa",1999,17208494,59.1194878,21.73769153
"Zambia","Sub-Saharan Africa",1999,9945115,42.02121951,18.24764146
"Zimbabwe","Sub-Saharan Africa",1999,12405236,45.8474878,35.71190807
"Albania","Europe & Central Asia",2000,3071856,74.23873171,75.23641319
"Algeria","Middle East & North Africa",2000,30533827,70.02417073,62.60756271
"Angola","Sub-Saharan Africa",2000,13926373,45.20492683,18.88834693
"Argentina","Latin America & Caribbean",2000,36930709,73.71797561,709.3310353
"Armenia","Europe & Central Asia",2000,3076098,70.98943902,38.97545265
"Australia","East Asia & Pacific",2000,19153000,79.23414634,1713.138146
"Austria","Europe & Central Asia",2000,8011566,78.02682927,2403.248441
"Azerbaijan","Europe & Central Asia",2000,8048600,66.75721951,30.36441181
"Bahamas, The","Latin America & Caribbean",2000,297651,71.62829268,1107.169134
"Bahrain","Middle East & North Africa",2000,638193,73.79607317,496.7217566
"Bangladesh","South Asia",2000,129592275,64.73034146,9.877356404
"Barbados","Latin America & Caribbean",2000,267511,75.40826829,601.1528498
"Belarus","Europe & Central Asia",2000,10005000,68.91219512,63.48191769
"Belgium","Europe & Central Asia",2000,10251250,77.72195122,1844.077377
"Belize","Latin America & Caribbean",2000,249800,73.53112195,133.2293942
"Benin","Sub-Saharan Africa",2000,6517810,52.56534146,15.70404125
"Bhutan","South Asia",2000,571262,61.37421951,51.64428898
"Bolivia","Latin America & Caribbean",2000,8307248,62.96368293,61.41930474
"Bosnia and Herzegovina","Europe & Central Asia",2000,3693698,74.30812195,105.6377785
"Botswana","Sub-Saharan Africa",2000,1757925,50.7654878,151.8056287
"Brazil","Latin America & Caribbean",2000,174425387,70.13826829,264.8090352
"Brunei Darussalam","East Asia & Pacific",2000,327036,76.23234146,551.3498816
"Bulgaria","Europe & Central Asia",2000,8170172,71.66341463,97.67952319
"Burkina Faso","Sub-Saharan Africa",2000,12294012,50.20129268,10.89793475
"Burundi","Sub-Saharan Africa",2000,6374347,46.00504878,6.874238235
"Cambodia","East Asia & Pacific",2000,12446949,57.46414634,18.63949844
"Cameroon","Sub-Saharan Africa",2000,15678269,50.07126829,26.50890471
"Canada","North America",2000,30769700,79.23658537,2089.213973
"Cape Verde","Sub-Saharan Africa",2000,437238,69.44826829,59.30855249
"Central African Republic","Sub-Saharan Africa",2000,3701607,43.66336585,10.60961703
"Chad","Sub-Saharan Africa",2000,8222327,48.48897561,10.57307527
"Chile","Latin America & Caribbean",2000,15419820,76.82173171,386.6430366
"China","East Asia & Pacific",2000,1262645000,71.24170732,43.40881009
"Colombia","Latin America & Caribbean",2000,39764166,71.00097561,148.3558773
"Comoros","Sub-Saharan Africa",2000,562469,57.87643902,12.98030899
"Congo, Dem. Rep.","Sub-Saharan Africa",2000,49626200,45.65190244,13.00280979
"Congo, Rep.","Sub-Saharan Africa",2000,3135773,54.14585366,21.82067982
"Costa Rica","Latin America & Caribbean",2000,3919180,77.80407317,287.9839897
"Cote d'Ivoire","Sub-Saharan Africa",2000,16581653,50.16087805,31.77351656
"Croatia","Europe & Central Asia",2000,4426000,72.80780488,377.0591131
"Cuba","Latin America & Caribbean",2000,11104313,76.36580488,166.334715
"Cyprus","Europe & Central Asia",2000,943294,77.95692683,743.99543
"Czech Republic","Europe & Central Asia",2000,10272322,74.96829268,361.4184213
"Denmark","Europe & Central Asia",2000,5339616,76.59268293,2608.777193
"Djibouti","Middle East & North Africa",2000,731930,53.85034146,43.73829624
"Dominican Republic","Latin America & Caribbean",2000,8591967,70.89370732,174.7765324
"Ecuador","Latin America & Caribbean",2000,12345023,73.39204878,53.5810289
"Egypt, Arab Rep.","Middle East & North Africa",2000,67648419,69.08265854,78.61307678
"El Salvador","Latin America & Caribbean",2000,5940305,69.70160976,176.5397568
"Equatorial Guinea","Sub-Saharan Africa",2000,520380,48.69026829,46.41340987
"Eritrea","Sub-Saharan Africa",2000,3667576,56.02497561,7.81860408
"Estonia","Europe & Central Asia",2000,1369515,70.41707317,217.2826535
"Ethiopia","Sub-Saharan Africa",2000,65577897,51.71012195,5.317679644
"Fiji","East Asia & Pacific",2000,811718,67.60731707,79.37417838
"Finland","Europe & Central Asia",2000,5176209,77.46585366,1698.627362
"France","Europe & Central Asia",2000,60910922,78.95853659,2202.702362
"Gabon","Sub-Saharan Africa",2000,1235274,59.69095122,102.3652707
"Gambia, The","Sub-Saharan Africa",2000,1297084,55.1567561,21.81104149
"Georgia","Europe & Central Asia",2000,4418300,71.56309756,44.7129693
"Germany","Europe & Central Asia",2000,82211508,77.92682927,2385.892873
"Ghana","Sub-Saharan Africa",2000,19165490,58.3822439,12.3245178
"Greece","Europe & Central Asia",2000,10917482,77.88780488,917.2098487
"Grenada","Latin America & Caribbean",2000,101522,73.40770732,339.3473555
"Guatemala","Latin America & Caribbean",2000,11237101,67.74417073,96.0240871
"Guinea","Sub-Saharan Africa",2000,8344486,48.11014634,21.08639557
"Guinea-Bissau","Sub-Saharan Africa",2000,1240655,44.88487805,16.63613918
"Guyana","Latin America & Caribbean",2000,733101,64.44826829,56.8446622
"Haiti","Latin America & Caribbean",2000,8645371,58.37207317,25.67909351
"Honduras","Latin America & Caribbean",2000,6218151,70.38202439,76.5893405
"Hungary","Europe & Central Asia",2000,10210971,71.24634146,326.0262016
"Iceland","Europe & Central Asia",2000,281205,79.65365854,3034.094433
"India","South Asia",2000,1053898107,61.61387805,19.5695692
"Indonesia","East Asia & Pacific",2000,213395411,65.64636585,15.13273464
"Iran, Islamic Rep.","Middle East & North Africa",2000,65342319,69.73965854,231.2898719
"Iraq","Middle East & North Africa",2000,24313641,70.7434878,34.26055252
"Ireland","Europe & Central Asia",2000,3805174,76.54073171,1561.436461
"Israel","Middle East & North Africa",2000,6289000,78.95365854,1494.911049
"Italy","Europe & Central Asia",2000,56942108,79.42682927,1553.920709
"Jamaica","Latin America & Caribbean",2000,2589388.551,70.47229268,189.4570814
"Japan","East Asia & Pacific",2000,126870000,81.07609756,2834.20968
"Jordan","Middle East & North Africa",2000,4797500,72.07502439,169.2226234
"Kazakhstan","Europe & Central Asia",2000,14883626,65.51707317,50.88072086
"Kenya","Sub-Saharan Africa",2000,31253701,52.29963415,19.03641044
"Kiribati","East Asia & Pacific",2000,84010,59.53658537,64.41649147
"Korea, Rep.","East Asia & Pacific",2000,47008000,75.8554878,508.4592833
"Kuwait","Middle East & North Africa",2000,1940786,73.7524878,487.9345442
"Kyrgyz Republic","Europe & Central Asia",2000,4898400,68.55853659,12.93295436
"Lao PDR","East Asia & Pacific",2000,5317060,61.39460976,10.82220608
"Latvia","Europe & Central Asia",2000,2372985,70.31463415,196.8125245
"Lebanon","Middle East & North Africa",2000,3742329,70.63702439,455.1985072
"Lesotho","Sub-Saharan Africa",2000,1963878,47.58636585,26.63946574
"Liberia","Sub-Saharan Africa",2000,2847290,45.96431707,10.98670564
"Libya","Middle East & North Africa",2000,5231189,72.5307561,243.8362828
"Lithuania","Europe & Central Asia",2000,3499536,72.0195122,212.2446064
"Luxembourg","Europe & Central Asia",2000,436300,77.87317073,3473.532246
"Macedonia, FYR","Europe & Central Asia",2000,2009091,72.91021951,156.7261289
"Madagascar","Sub-Saharan Africa",2000,15364272,59.67456098,9.37516003
"Malawi","Sub-Saharan Africa",2000,11228756,46.02973171,9.42469648
"Malaysia","East Asia & Pacific",2000,23414909,72.1424878,124.5699464
"Maldives","South Asia",2000,273236,70.37412195,160.3548982
"Mali","Sub-Saharan Africa",2000,11295324,47.24326829,14.79404198
"Malta","Middle East & North Africa",2000,381363,78.2,643.3998101
"Marshall Islands","East Asia & Pacific",2000,52145,65.23902439,465.7676886
"Mauritania","Sub-Saharan Africa",2000,2642743,56.99478049,24.2798666
"Mauritius","Sub-Saharan Africa",2000,1186873,71.66341463,144.9859639
"Mexico","Latin America & Caribbean",2000,99959594,74.2742439,328.4829061
"Micronesia, Fed. Sts.","East Asia & Pacific",2000,107103,67.27373171,170.4453844
"Moldova","Europe & Central Asia",2000,3639588,66.88826829,23.52063202
"Mongolia","East Asia & Pacific",2000,2411369,63.12134146,21.96976666
"Montenegro","Europe & Central Asia",2000,632606,74.89002439,116.8261351
"Morocco","Middle East & North Africa",2000,28793236,68.67514634,53.75236432
"Mozambique","Sub-Saharan Africa",2000,18200656,47.23785366,14.59131231
"Myanmar","East Asia & Pacific",2000,44957660,61.85570732,3.371136965
"Namibia","Sub-Saharan Africa",2000,1895839,57.65773171,126.0509575
"Nepal","South Asia",2000,24400606,61.52163415,11.82240089
"Netherlands","Europe & Central Asia",2000,15925513,77.98780488,1924.632723
"New Zealand","East Asia & Pacific",2000,3857700,78.63658537,1051.438727
"Nicaragua","Latin America & Caribbean",2000,5073704,69.64573171,54.27549775
"Niger","Sub-Saharan Africa",2000,10922421,48.26668293,5.21646618
"Nigeria","Sub-Saharan Africa",2000,123688536,46.27231707,17.10887986
"Norway","Europe & Central Asia",2000,4490967,78.63414634,3155.349233
"Oman","Middle East & North Africa",2000,2264163,74.11029268,263.9609719
"Pakistan","South Asia",2000,144522192,63.16195122,14.95037047
"Palau","East Asia & Pacific",2000,19172,70.49365854,661.0341415
"Panama","Latin America & Caribbean",2000,2956126,74.22314634,305.1967338
"Papua New Guinea","East Asia & Pacific",2000,5378824,58.79578049,25.91760575
"Paraguay","Latin America & Caribbean",2000,5343539,70.04519512,124.2396343
"Peru","Latin America & Caribbean",2000,25861887,70.47626829,96.8113784
"Philippines","East Asia & Pacific",2000,77309965,66.79514634,33.63425387
"Poland","Europe & Central Asia",2000,38453757,73.74878049,247.1863087
"Portugal","Europe & Central Asia",2000,10225836,76.31463415,1066.375002
"Qatar","Middle East & North Africa",2000,590957,76.30319512,654.5538623
"Romania","Europe & Central Asia",2000,22442971,71.16341463,72.27655392
"Russian Federation","Europe & Central Asia",2000,146303000,65.34146341,95.95046995
"Rwanda","Sub-Saharan Africa",2000,8098344,46.51021951,9.042109006
"Samoa","East Asia & Pacific",2000,176549,69.48780488,78.96224429
"San Marino","Europe & Central Asia",2000,26967,80.6195122,2742.89415
"Sao Tome and Principe","Sub-Saharan Africa",2000,141010,62.35778049,45.53231003
"Saudi Arabia","Middle East & North Africa",2000,20045276,71.49209756,400.4213183
"Senegal","Sub-Saharan Africa",2000,9505862,55.7392439,21.319472
"Serbia","Europe & Central Asia",2000,7516346,72.13658537,60.01495514
"Sierra Leone","Sub-Saharan Africa",2000,4143115,39.73158537,26.86698934
"Singapore","East Asia & Pacific",2000,4027900,78.05121951,662.7288525
"Slovak Republic","Europe & Central Asia",2000,5388720,73.05121951,207.7368505
"Slovenia","Europe & Central Asia",2000,1988925,75.41219512,830.0668719
"Solomon Islands","East Asia & Pacific",2000,408732,62.8342439,48.54700445
"Somalia","Sub-Saharan Africa",2000,7399033,48.29578049,6.777761295
"South Africa","Sub-Saharan Africa",2000,4.4e+07,54.77631707,246.1183522
"Spain","Europe & Central Asia",2000,40263216,78.96585366,1039.894213
"Sri Lanka","South Asia",2000,19102000,70.98429268,32.5750347
"St. Lucia","Latin America & Caribbean",2000,155996,71.10560976,264.5020994
